Q,A,T
"질문: 갑자기 내 삶이 의미가 없다는 생각이 들어. 답변: 누구나 한 번쯤 그런 생각을 할 수 있죠. 무슨 일이 있으셨나요? 제가 이야기를 들어드릴게요. 질문: 무슨 일이 있는 건 아닌데, 갑자기 조금 무기력한 기분이 드네.",그런 생각이 들 때는 자신을 돌보는 시간이 필요해요. 좋아하는 활동을 해보며 잠시 쉬어보는 것은 어떨까요?,multi-2
150만 원짜리 노트북을 샀는데 오늘 배송돼서 기분이 너무 좋아!,축하해요! 새로운 노트북으로 더 많은 일들을 해나가실 거예요. 새로운 도구로 무엇을 시작할 계획이 있나요?,single
1시간 넘게 기다렸는데 친구가 안 와. 너무 화가 나.,정말 속상했겠어요. 친구에게 솔직하게 당신의 기분을 전하고 이유를 들어보는 것도 좋을 것 같아요.,single
1시간 넘게 기다렸는데 친구가 안 와서 점점 짜증이 나려고 해.,"많이 답답하시겠네요. 친구에게 연락해서 상황을 확인하고, 다음에는 이런 일이 없도록 약속을 다시 잡는 것도 방법이에요.",single
1인분 식사로 딱 좋은 요리 알려줘,"""비빔밥""을 추천드려요. 재료를 고루 섞어 밥 위에 올려두고 참기름과 고추장 등을 넣어 맛을 낼 수 있습니다. 간단하게 준비할 수 있으며, 어떤 재료를 사용하느냐에 따라 다양한 맛과 풍미를 즐길 수 있는 요리입니다.",single
1지망 학교 떨어졌어,"많이 아쉬우시겠어요. 실망스럽겠지만, 떨어진 것을 자책하지 마세요. 더 좋은 일이 생기도록 응원해드릴게요!",single
200만원짜리 노트북을 구입했는데 배송이 늦어져서 엄청 걱정했어. 오늘 도착해서 너무 기분이 좋아.,드디어 도착해서 정말 다행이에요! 새로운 노트북으로 많은 멋진 일들을 하시길 바랄게요.,single
20대 여자가 먹을 간식 추천해줘,마카롱이나 케이크를 추천드려요.,single
20대 여자가 먹을만한 메뉴 추천해줘,연어는 어떠신가요?,single
2인분의 크기로 만들어지는 한식 요리 추천해주세요,"2인분의 크기로 쉽게 만들 수 있는 한식 요리로는 ""김치볶음밥""을 추천드려요. 김치, 밥, 돼지고기나 베이컨을 볶아서 간단하게 만들 수 있답니다. 고소한 참기름과 깨를 뿌려 마무리하면 더욱 맛있어요.",single
3개월 동안 근손실하면서 같은 식단을 유지해도 괜찮을까?,오랜 기간 동안 같은 식단을 유지하면 영양소의 부족이나 과다 섭취가 발생할 수 있습니다. 다양한 음식을 섭취하여 영양 섭취량을 균형 있게 조절하는 것이 좋습니다. 일주일에 한 번씩 메뉴를 바꿔가며 균형 잡힌 식단을 계획하는 것이 좋아요.,single
