sentence,emotion
3년 동안 그렇게 잘 해주더니 다 연기였나봐.,sadness
그냥 답답해서 집 밖으로 나왔어. 조금만 산책하고 갈려고.,tired
"그래, 고마워.",neutral
나 결국 헤어졌어.,sadness
나 면접 또 떨어진 것 같아.,unrest
내가 쓰레기통을 제때 안 버렸어.,regret
내가 잘 못해서 그런 걸 누굴 탓 하겠어.,regret
딱 한 명 뽑는 거였어. 한 명만.,neutral
빠르게 치료 받아야 되겠지? 시간 좀 내서 갔다올게.,unrest
지금 있는 걸로는 못 버틸 거 같애.,unrest
어제 우리 강아지 해피가 세상을 떠났어.,sadness
응. 계속 했는데 연락을 안받아.,unrest
짜장면에서 벌레가 나와서 더러워서 못 먹겠어. 갖다 버려야할 것 같아!,anger
회사에서 혼났어. 결재를 올렸는데 너무 못썼나봐.,sadness
그 친구랑은 10년도 넘었지. 고등학교 동창이거든.,neutral
"10분마다 연락을 해봤지. 근데 아직도 이녀석, 온다고만 하지 오질 않고 있어.",anger
대회에 나갔는데 거기서 내 기록을 갱신했어! 예전 기록보다 훨씬 갱신했어.,happiness
대회에 나갔는데 예전의 내 기록을 훨씬 갱신했어!,happiness
대회에 출전했는데 거기서 예전 내 기록을 갱신했어! 너무 기분이 좋아.,happiness
"대회에 출전했는데, 이전의 내 기록을 훨씬 경신했어. 너무 기뻐!",happiness
119를 불러서 구조요청을 하고 싶은데 전화가 안 터지고 있어.,unrest
"12월에 헤어졌으니까, 두 달이 지나가.",sadness
150만 원짜리 노트북을 샀는데 오늘 배송돼서 기분이 너무 좋아!,happiness
15년 동안 우리 곁에서 함께한 해피가 갑자기 세상을 떠나서 가족들이 많이 힘들어하고 슬퍼해.,sadness
1년 만에 받은 휴가인데 비가 와서 아무데도 못 갈 것 같아. 속상해!,sadness
1년 만에 휴가야 그동안 너무 바빠서 제대로 쉰 적이 없거든.,neutral
"1년 전에 소개팅에서 만난 사인데, 서로 잘 지냈었거든.",neutral
1시간 넘게 기다렸는데 친구가 안 와 너무 화가 나.,anger
1시간 넘게 기다렸는데 친구가 안 와 점점 짜증이 나려고 해.,anger
1시간 정도나 기다리고 있는데 얘가 안 오잖아 미친 놈 아니야 이거.,anger
1시간은 넘은 것 같아 왜 안 오는지 조금은 걱정이 되네.,unrest
1층 관리실로 한 번 가봐야겠어.,neutral
