sentence,intent,,,,,
나도 지금 그 생각 하고 있어. 제대로 얘길해봐야겠어.,0,,,,0. 일반대화,100
강남이야. 거기서 확진자가 나왔다..,0,,,,1. 레시피요청,108
그 상사 새끼는 서로 말이 통하지 않아!,0,,,,2. 상황따른 요리추천,0
걔는 항상 음식을 먹고 치우지를 않아.,0,,,,3. 감정따른 요리추천,0
내일 약속이 있는데 약속 장소에 가야 하나 고민 중이야.,0,,,,,
너는 좋아하는 게 뭐야?,0,,,,,
그런 방법도 있네요. 조언해주셔서 감사해요.,0,,,,,
그러겠지. 고마워.,0,,,,,
그새끼는 왜 나한테만 지랄이지?,0,,,,,
놀란건 많이 진정이 됐는데 또 잠드는게 무섭기는 해.,0,,,,,
그냥 모든 게 다 잘 안 되는 것 같구.,0,,,,,
그냥 가까운 산에 묻어줬어.,0,,,,,
난 기분 풀고 싶을 때 락음악을 들어.,0,,,,,
그래놓고는 사과는 안하려고 발뺌하더라고!,0,,,,,
나도 그러고 싶은 마음이야. 답답해.,0,,,,,
"내일 약속이 있는데, 그래도 가는 게 맞는 걸까?",0,,,,,
아니야. 지금은 뭘 먹으면 안돼. 그냥 점심 때 뭐 먹을래.,0,,,,,
그래. 같은 값이면 애피타이저도 잘 나오는 곳이 낫겠지?,0,,,,,
어떻게 이럴 수가 있지?,0,,,,,
그게 좋을 것 같아. 방향제도 바로 사와야겠어.,0,,,,,
너무 힘들어. 그만두고 싶어.,0,,,,,
"놀랐고, 지금 아직도 속이 안 좋아.",0,,,,,
다들 남의 일에는 관심이 없어. 그냥 나 혼자 힘들고 마는거지.,0,,,,,
너의 말대로 시간이 되면 여행을 다녀오는 것도 의미가 있을 것 같아.,0,,,,,
난 일식을 좋아하지만 그래도 양식도 좋아하기도 해. 둘 다 먹을 수 있어.,0,,,,,
내 10키로 마라톤 기록이 어 한 5분 빨라졌어.,0,,,,,
너 지금 나 무시해?,0,,,,,
그러게. 일 때문에 그런 것 같기도 해. 무기력하기도 하고.,0,,,,,
나 요즘 허리가 아파와.,0,,,,,
너무 편한 사이라서 말해봤자 그 친구가 내 말을 진지하게 들을 생각을 안 할 거야. 그리고 이 문제로 싸우는 게 더 피곤해,0,,,,,
그렇잖아도 친구들이랑 벌써 약속했지. 내일 만나기로 했어.,0,,,,,
그래도 생각해보는 중이야.,0,,,,,
난 프로젝트 끝난 기념으로 집에서 좀 쉬려고.,0,,,,,
그러기를 바래야지.,0,,,,,
그냥 주변 지인들이 알려줘서 시작했는데 영.,0,,,,,
그렇지 않아도 선배가 위로한다고 커피 사줘서 마시고 왔어.,0,,,,,
나 요즘 주식하는데 상황이 심각해.,0,,,,,
나 요새 허리가 너무 아파.,0,,,,,
그저께 밤에 애가 갑자기 의식이 없어서 응급실 데려갔었거든. 어제는 밥도 먹고 좀 괜찮아지나 싶었는데 결국 못 일어났어.,0,,,,,
