sentence,intent,,,,,
김치찌개 레시피 좀 알려주세요,"B-FOOD, O, O, O, O",,,,0. 일반대화,0
스파게티 만드는 법 가르쳐 주세요,"B-FOOD, O, O, O, O, O",,,,1. 레시피요청,0
갈비찜은 어떻게 만들어야 하나요?,"B-FOOD, O, O, O, O, O",,,,2. 상황따른 요리추천,0
김치찌개 레시피가 필요해요.,"B-FOOD, O, O, O",,,,3. 감정따른 요리추천,0
김치찌개 만드는 법 좀 알려주세요.,"B-FOOD, O, O, O, O, O",,,,,
김치찌개 요리법을 알고 싶어요.,"B-FOOD, O, O, O, O, O",,,,,
김치찌개 어떻게 만들어요?,"B-FOOD, O, O, O",,,,,
김치찌개 레시피 알려줄래요?,"B-FOOD, O, O, O",,,,,
김치찌개 요리하는 방법 좀 가르쳐주세요.,"B-FOOD, O, O, O, O, O, O",,,,,
김치찌개 만드는 방법 알려주세요.,"B-FOOD, O, O, O, O",,,,,
김치찌개 레시피 부탁드립니다.,"B-FOOD, O, O",,,,,
김치찌개 만드는 법을 알고 싶어요.,"B-FOOD, O, O, O, O, O",,,,,
김치찌개 요리법 좀 알려주시겠어요?,"	B-FOOD, O, O, O, O",,,,,
된장찌개 레시피가 필요해요.,"	B-FOOD, O, O, O",,,,,
된장찌개 만드는 법 좀 알려주세요.,"	B-FOOD, O, O, O, O",,,,,
된장찌개 요리법을 알고 싶어요.,"	B-FOOD, O, O, O, O",,,,,
된장찌개 어떻게 만들어요?,"B-FOOD, O, O, O",,,,,
된장찌개 레시피 알려줄래요?,"B-FOOD, O, O, O",,,,,
된장찌개 요리하는 방법 좀 가르쳐주세요.,"	B-FOOD, O, O, O, O, O",,,,,
된장찌개 만드는 방법 알려주세요.,"	B-FOOD, O, O, O, O",,,,,
된장찌개 레시피 부탁드립니다.,"B-FOOD, O, O",,,,,
된장찌개 만드는 법을 알고 싶어요.,"	B-FOOD, O, O, O, O, O",,,,,
된장찌개 요리법 좀 알려주시겠어요?,"	B-FOOD, O, O, O, O",,,,,
불고기 레시피가 필요해요.,"B-FOOD, O, O, O",,,,,
불고기 만드는 법 좀 알려주세요.,"B-FOOD, O, O, O, O",,,,,
